name,email,website
HR DataHub,david@hrdatahub.com,https://www.hrdatahub.com
Change Formation,info@changeformation.co.uk,http://www.changeformation.co.uk
Civica,hrpsales@civica.co.uk,https://www.civica.com/hr-payroll
mHarp,nick.taylor@andquiss.com,https://www.mharp.co.uk
Bowles Learning & Development,development@bowles.rocks,https://www.bowles.rocks
University of Leicester,proflearning@le.ac.uk,https://le.ac.uk/study/professional-learners/
Learning Pool,hello@learningpool.com,https://www.learningpool.com/
Sage,Daniel.Paylor@sage.com,https://www.sagepeople.com
Avantus,enquiries@avantushr.com,https://www.avantushr.com
Acacia Learning,courses@acacialearning.co.uk,https://acacialearning.co.uk/
Lexxic Ltd,enquiry@lexxic.com,https://www.lexxic.com/
University of Sussex Business School,business-events@sussex.ac.uk?subject=CIPD Festival of Work - Appointment Request,https://www.sussex.ac.uk/business-school
CMC Partnership Global,prosci@cmcpartnership.com,https://www.cmcpartnership.com
HotDeskPlus,info@hotdeskplus.com,https://www.hotdeskplus.com/
Ceridian,michael.flannigan@ceridian.com,https://www.ceridian.com/uk
Learning Curve Group,training@LearningCurveGroup.co.uk,https://www.learningcurvegroup.co.uk/
Can Studios,info@canstudios.com,https://www.canstudios.com
Investors in People,events@investorsinpeople.com,https://www.investorsinpeople.com
Belbin,team@belbin.com,http://www.belbin.com
Corporate Research and Investigations Ltd.,info@crigroup.com,https://www.crigroup.com
Glint,dguthrie@linkedin.com,https://www.glintinc.com
HR Path,tristan.vivier@hr-path.com,https://www.hr-path.com/en
Academy of Executive Coaching (AoEC),vicky.routledge@aoec.com,https://www.aoec.com
Getfeedback Ltd,info@getfeedback.net,https://www.getfeedback.net
Jigsaw Cloud | SAP SuccessFactors,info@jigsaw-cloud.com,https://www.jigsaw-cloud.com
Cambridge Assessment Network,thenetwork@cambridgeassessment.org.uk,https://www.cambridgeassessment.org.uk/the-network/
ADP,grpsales@adp-es.co.uk,https://www.adp.co.uk
AVADO,learnmore@avadolearning.com,https://www.avadolearning.com
Maxtime,peter.naylor@maxtime.co.uk,https://www.maxtime.co.uk
Rising Vibe Ltd,hello@rising-vibe.com,https://rising-vibe.com
Loving Monday,Info@loving-monday.com,https://www.loving-monday.com
People Alchemy Ltd,cipdfow@peoplealchemy.co.uk,https://www.peoplealchemy.co.uk
Crown House Publishing,books@crownhouse.co.uk,https://www.crownhouse.co.uk
Eploy,info@eploy.co.uk,https://www.eploy.co.uk/
AICPA & CIMA,keeplearning@aicpa-cima.com>keeplearning@aicpa-cima.com</a></div><div class=,
Alliance Manchester Business School,executive@manchester.ac.uk,https://www.ambs.ac.uk
Mercuri International UK Ltd,training@mercuri.co.uk,https://mercuri.co.uk/sales-apprenticeships-increase-sales-through-apprenticeships/
Humanise,jonny.tapnack@humanise.business,https://www.humanise.business/
Hireserve ATS,info@hireserve.com,https://hireserve.com/
The Oxford Group,andy.dent@oxford-group.com,https://www.oxford-group.com
Popcorn Pass Rewards,enquiries@popcornpassrewards.co.uk,https://www.popcornpassrewards.co.uk
Longleat,sales@longleat.co.uk,https://www.longleat.co.uk/business
CMP,Richard.Peachey@cmpsolutions.com,https://www.cmpsolutions.com
Employer Branding Awareness Week,wonderful.workplaces@haymarket.com,https://www.ebaweek.co.uk
WeThrive,hello@wethrive.net,https://www.wethrive.net
OASIS Group,info@oasisgroup.com,https://www.oasisgroup.com
Oracle,sophie.geering@oracle.com,https://www.oracle.com/uk/applications/human-capital-management/
LinkedIn Learning,,https://learning.linkedin.com/
Brightest Bulb,ali@brightest-bulb.com,https://www.brightest-bulb.com
Cezanne HR,info@cezannehr.com,https://cezannehr.com
Acteon,flourish@acteoncommunication.com,https://www.acteoncommunication.com/
Vidatec,sales@engage4.com,https://www.vidatec.com
Totem,ted@totem.team,https://www.totem.team/
Busy Bees Benefits,wojciech.dochan@busybeesbenefits.com,https://www.busybeesbenefits.com
Talksuite,people@people-first.com,https://people-first.com/talksuite/
Let’s Nearshore,ricsi@majsair.com,https://letsnearshore.com/en/
Sterling,,https://www.sterlingcheck.co.uk
Activ People HR,sales@activpeoplehr.co.uk,https://www.activpeoplehr.co.uk
